iTeamId,sTeamName,num,iAppearancesFrequency,iWin,iLoss,iKill,iDeath,sAveragingWin,sAveragingKill,sAveragingDeath,sAveragingWardPlaced,sAveragingWardKilled,sAveragingGold,sAveragingSmallDragon,sAveragingKillNeutral,sAveragingBigDragon
1,EDG,2,44,26,18,597,478,59.0909,13.5682,10.8636,113.2273,55.7500,57752.6364,2.4773,0.530000,0.6818
2,IG,2,44,22,22,661,704,50.0000,15.0227,16.0000,91.2273,40.2045,55157.2500,1.6136,0.235000,0.6136
4,LGD,1,37,11,26,401,570,29.7297,10.8378,15.4054,111.1081,47.9730,56043.4324,2.3243,0.115000,0.3243
6,OMG,1,34,7,27,346,563,20.5882,10.1765,16.5588,101.3824,44.7353,54900.8235,1.3824,0.078333,0.4412
7,FPX,2,41,35,6,743,429,85.3659,18.1220,10.4634,115.3415,54.2683,61773.0976,2.9756,0.076429,1.0732
8,RNG,2,47,32,15,692,494,68.0851,14.7234,10.5106,131.5745,61.2979,60917.6596,2.4468,0.063750,0.6596
9,LNG,2,43,23,20,605,564,53.4884,14.0698,13.1163,124.0000,61.0698,62999.3488,2.4186,0.060000,0.9302
11,VG,1,38,11,27,380,470,28.9474,10.0000,12.3684,107.0263,54.0263,56329.8947,1.4474,0.043636,0.6579
12,WE,1,37,19,18,528,524,51.3514,14.2703,14.1622,101.0000,49.4054,57978.5405,2.1622,0.041667,0.6757
29,JDG,1,36,17,19,466,496,47.2222,12.9444,13.7778,114.3889,53.4722,60158.9444,2.0278,0.017241,0.8333
41,SN,2,38,19,19,487,500,50.0000,12.8158,13.1579,120.7632,53.4737,59157.3684,2.2105,0.011098,0.7368
42,TES,2,42,29,13,555,434,69.0476,13.2143,10.3333,97.8571,45.8333,55812.5000,2.2381,0.012024,0.7143
57,BLG,2,47,27,20,603,544,57.4468,12.8298,11.5745,121.4043,58.0000,60000.2128,1.9787,0.008684,0.7234
422,RW,1,37,13,24,406,529,35.1351,10.9730,14.2973,116.5676,46.9459,57010.3243,1.6757,0.001137,0.4324
438,DMO,1,36,15,21,419,447,41.6667,11.6389,12.4167,106.6111,53.4444,58297.9167,2.3056,0.001142,0.6111
587,V5,1,35,12,23,446,608,34.2857,12.7429,17.3714,94.6571,42.5143,52613.1429,1.3714,0.000767,0.4571
