iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
5,EDGMeiko,Meiko,1,"201,12,223",1,辅助,37,1,7948.6757,27,340,100,1346,3.67,0.7297,2.7027,9.1892,36,54,11,0.667
35,FPXDoinb,Doinb,7,"13,43,112",2,中单,45,8,13201.2667,157,315,115,12377,4.1043,3.4889,2.5556,7,283,15,6.5,0.824
53,TESKarsa,Karsa,42,"64,59,79",2,打野,44,1,10843.9773,114,379,110,7505,4.4818,2.5909,2.5,8.6136,183.5,18,13.5,0.654
55,LGDxiye,xiye,4,"7,42,13",2,中单,52,12,13109.6923,191,289,124,14046,3.871,3.6731,2.3846,5.5577,263,10,6.5,0.7135
63,IGRookie,Rookie,2,"61,134,7",2,中单,44,6,11773.8636,138,277,110,10583,3.7727,3.1364,2.5,6.2955,224,10.5,4.5,0.683
68,LNGMaple,Maple,9,"142,7,268",1,中单,36,4,11515.2778,98,169,79,8916,3.3797,2.7222,2.1944,4.6944,247,15,5,0.686
71,OMGSmlz,Smlz,6,"202,15,110",1,ADC,34,4,13500.3235,101,164,103,10261,2.5728,2.9706,3.0294,4.8235,301,12,11,0.621
74,SNSwordArt,SwordArt,41,"223,111,412",2,辅助,52,2,7824.9808,53,416,146,1788,3.2123,1.0192,2.8077,8,34,54,9.5,0.628
100,LNGFlandre,Flandre,9,"8,150,41",1,上单,21,2,12753.1429,61,103,58,5757,2.8276,2.9048,2.7619,4.9048,274,6,9,0.722
148,RNGXiaohu,Xiaohu,8,"13,134,142",1,中单,35,5,13179.9429,124,222,72,9662,4.8056,3.5429,2.0571,6.3429,276,11,8,0.711
200,EDGScout,Scout,1,"268,134,13",1,中单,37,8,14143.7297,136,270,73,10862,5.5616,3.6757,1.973,7.2973,293,12,6,0.746
235,FPXKhan,Khan,7,"114,516,150",1,ADC,31,2,11495.6774,87,158,77,7142,3.1818,2.8065,2.4839,5.0968,230,14,6,0.598
240,FPXGimGoon,GimGoon,7,"41,150,114",2,上单,17,2,12696,44,113,59,4067,2.661,2.5882,3.4706,6.6471,234.5,16,6,0.622
