iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
2,1,2,0.0227,0.0000,0.5000,2,3,10,1.0000,1.5000,5.0000,0.6200000,TESKarsa
3,1,9,0.1023,0.0341,0.2222,8,36,56,0.8889,4.0000,6.2222,0.6700000,V5Uniboy
4,1,10,0.1136,0.1250,0.6000,16,27,78,1.6000,2.7000,7.8000,0.7900000,BLGZeka
5,1,25,0.2841,0.0909,0.6800,70,70,197,2.8000,2.8000,7.8800,0.6700000,WEbeishang
7,1,11,0.1250,0.2386,0.6364,45,15,55,4.0909,1.3636,5.0000,0.7500000,WEMole
12,1,9,0.1023,0.0568,0.6667,2,27,92,0.2222,3.0000,10.2222,0.6500000,TTPatch
13,1,16,0.1818,0.1932,0.3750,50,54,92,3.1250,3.3750,5.7500,0.7000000,V5Uniboy
15,1,1,0.0114,0.0227,0.0000,4,3,6,4.0000,3.0000,6.0000,0.5700000,UPSmlz
18,1,3,0.0341,0.0000,0.3333,5,7,5,1.6667,2.3333,1.6667,0.6000000,V5Kepler
36,1,1,0.0114,0.0000,1.0000,1,2,8,1.0000,2.0000,8.0000,0.5200000,RACube
39,1,1,0.0114,0.0227,1.0000,4,1,7,4.0000,1.0000,7.0000,0.5600000,FPXNuguri
41,1,2,0.0227,0.0227,0.5000,7,6,14,3.5000,3.0000,7.0000,0.6800000,JDGZoom
43,1,18,0.2045,0.6932,0.4444,20,42,124,1.1111,2.3333,6.8889,0.7100000,TESZhuo
48,1,1,0.0114,0.0227,1.0000,2,1,8,2.0000,1.0000,8.0000,0.6600000,TESKarsa
53,1,1,0.0114,0.0000,0.0000,2,5,4,2.0000,5.0000,4.0000,0.5000000,UPShiauC
56,1,16,0.1818,0.7614,0.3125,32,60,105,2.0000,3.7500,6.5625,0.6600000,RNGCryin
58,1,17,0.1932,0.7955,0.5882,46,49,111,2.7059,2.8824,6.5294,0.5400000,FPXNuguri
60,1,1,0.0114,0.0000,0.0000,2,5,3,2.0000,5.0000,3.0000,0.5500000,TESKarsa
61,1,5,0.0568,0.0682,0.2000,11,18,29,2.2000,3.6000,5.8000,0.7500000,TTYe
62,1,12,0.1364,0.1136,0.5000,43,30,54,3.5833,2.5000,4.5000,0.6500000,RW8917
64,1,38,0.4318,0.5000,0.5526,135,93,250,3.5526,2.4474,6.5789,0.7200000,FPXDoinb
68,1,41,0.4659,0.4318,0.5366,124,110,300,3.0244,2.6829,7.3171,0.7300000,WEbeishang
76,1,10,0.1136,0.1364,0.6000,39,25,62,3.9000,2.5000,6.2000,0.7100000,TTXiaopeng
77,1,38,0.4318,0.3068,0.3684,67,87,211,1.7632,2.2895,5.5526,0.6600000,V5pzx
79,1,6,0.0682,0.0000,0.6667,5,11,48,0.8333,1.8333,8.0000,0.6400000,OMGCOLD
81,1,50,0.5682,0.1932,0.5200,194,75,274,3.8800,1.5000,5.4800,0.6600000,JDGLpc
84,1,22,0.2500,0.3409,0.7273,105,37,128,4.7727,1.6818,5.8182,0.6800000,FPXDoinb
85,1,2,0.0227,0.0114,0.5000,6,5,7,3.0000,2.5000,3.5000,0.4300000,RW8917
89,1,26,0.2955,0.2386,0.4231,13,86,215,0.5000,3.3077,8.2692,0.6900000,JDGLvMao
96,1,11,0.1250,0.0568,0.3636,31,36,38,2.8182,3.2727,3.4545,0.6200000,TESJackeyLove
99,1,2,0.0227,0.0000,0.0000,0,4,11,0.0000,2.0000,5.5000,0.5100000,IGLucas
101,1,1,0.0114,0.0000,1.0000,9,2,4,9.0000,2.0000,4.0000,0.9200000,LNGicon
106,1,22,0.2500,0.1364,0.3636,51,50,120,2.3182,2.2727,5.4545,0.6000000,V5Invincible
110,1,25,0.2841,0.5227,0.6000,83,65,149,3.3200,2.6000,5.9600,0.5900000,RAiBoy
111,1,34,0.3864,0.2500,0.4706,15,126,262,0.4412,3.7059,7.7059,0.6000000,WEMissing
112,1,4,0.0455,0.0114,0.5000,9,5,21,2.2500,1.2500,5.2500,0.6800000,JDGYagao
117,1,16,0.1818,0.3295,0.4375,14,37,125,0.8750,2.3125,7.8125,0.7500000,TESknight
120,1,2,0.0227,0.0000,0.5000,5,5,10,2.5000,2.5000,5.0000,0.8600000,IGXUN
126,1,17,0.1932,0.2500,0.4118,50,45,86,2.9412,2.6471,5.0588,0.6700000,WEBreathe
131,1,17,0.1932,0.0795,0.5294,66,56,115,3.8824,3.2941,6.7647,0.7000000,FPXTian
134,1,3,0.0341,0.0114,0.3333,7,9,17,2.3333,3.0000,5.6667,0.7300000,JDGYagao
142,1,11,0.1250,0.1591,0.4545,29,22,50,2.6364,2.0000,4.5455,0.5600000,WEMole
145,1,33,0.3750,0.0682,0.3939,139,77,133,4.2121,2.3333,4.0303,0.5900000,WEElk
150,1,13,0.1477,0.1023,0.3846,27,33,55,2.0769,2.5385,4.2308,0.6500000,TTLangx
157,1,1,0.0114,0.0000,1.0000,5,1,14,5.0000,1.0000,14.0000,0.9000000,LNGicon
164,1,10,0.1136,0.1364,0.6000,45,19,48,4.5000,1.9000,4.8000,0.6700000,V5Invincible
201,1,7,0.0795,0.0227,0.7143,1,13,84,0.1429,1.8571,12.0000,0.7400000,TESZhuo
202,1,10,0.1136,0.0000,0.4000,40,24,67,4.0000,2.4000,6.7000,0.6800000,UPSmlz
203,1,2,0.0227,0.0227,0.0000,4,8,12,2.0000,4.0000,6.0000,0.7500000,SNSofM
