"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",16,7,9,33.4,203,233,0.87,0.82,,,,,,"44%","69%",,,,"44%",,,"60%",,"48.2%",3.36,1.29,1.57
"EDward Gaming",17,15,2,31.1,271,144,1.88,0.78,,,,,,"71%","65%",,,,"72%",,,"75%",,"53.4%",3.27,1.21,1.45
"FunPlus Phoenix",15,11,4,29.8,253,177,1.43,0.96,,,,,,"20%","73%",,,,"75%",,,"65%",,"54.0%",3.26,1.36,1.6
"Invictus Gaming",14,5,9,30.8,151,195,0.77,0.8,,,,,,"50%","71%",,,,"53%",,,"50%",,"50.4%",3.2,1.36,1.54
"JD Gaming",15,8,7,30.9,223,217,1.03,0.95,,,,,,"53%","33%",,,,"52%",,,"48%",,"51.0%",3.1,1.18,1.41
"LGD Gaming",18,10,8,33,276,247,1.12,0.88,,,,,,"50%","44%",,,,"46%",,,"52%",,"49.8%",3.14,1.32,1.67
"LNG Esports",18,14,4,32.9,299,155,1.93,0.77,,,,,,"44%","39%",,,,"53%",,,"71%",,"53.6%",3.48,1.23,1.52
"Oh My God",12,6,6,31.1,169,142,1.19,0.83,,,,,,"67%","33%",,,,"49%",,,"44%",,"49.0%",3.22,1.15,1.54
"Rare Atom",15,10,5,29.9,180,167,1.08,0.77,,,,,,"40%","47%",,,,"58%",,,"47%",,"52.8%",3.13,1.08,1.68
"Rogue Warriors",13,3,10,29.6,119,211,0.56,0.86,,,,,,"15%","31%",,,,"31%",,,"29%",,"48.0%",3.11,1.07,1.43
"Royal Never Give Up",13,5,8,31,175,240,0.73,1.03,,,,,,"92%","69%",,,,"38%",,,"29%",,"46.1%",3.34,1.31,1.65
"Suning",15,7,8,33,192,185,1.04,0.76,,,,,,"47%","33%",,,,"39%",,,"38%",,"49.4%",3.96,1.45,1.7
"Team WE",15,9,6,32.2,231,195,1.18,0.88,,,,,,"47%","60%",,,,"49%",,,"64%",,"51.5%",3.26,1.49,1.63
"ThunderTalk Gaming",13,3,10,32.3,126,210,0.6,0.8,,,,,,"62%","62%",,,,"45%",,,"40%",,"44.7%",3.22,1.23,1.61
"Top Esports",12,7,5,31.3,188,142,1.32,0.88,,,,,,"33%","50%",,,,"55%",,,"63%",,"50.9%",3.17,1.39,1.52
"Ultra Prime",16,4,12,31.9,193,269,0.72,0.91,,,,,,"63%","38%",,,,"49%",,,"32%",,"48.0%",3.33,1.38,1.58
"Victory Five",13,1,12,29.3,93,220,0.42,0.82,,,,,,"54%","31%",,,,"33%",,,"15%",,"46.4%",3.23,1.29,1.33
